year,gdp_real_constant_usd,co2_million_tonnes,unemployment_rate,inflation_cpi,year_numeric,year_since_1990
1991,1651067777785.17,419118720.0,9.134,3.21340732409687,1991,1
1992,1676098974378.87,408433000.0,10.203,2.36376046269353,1992,2
1993,1670081815758.79,388889700.0,11.32,2.10446277124644,1993,3
1994,1709890902349.41,381903100.0,12.593,1.65551532926993,1994,4
1995,1749300344479.7,386958820.0,11.834,1.79648142095595,1995,5
1996,1773739467493.06,403351940.0,12.367,1.98288365089738,1996,6
1997,1818562957062.05,396023140.0,12.566,1.20394294026962,1997,7
1998,1881350558837.76,414357000.0,12.074,0.651126867833049,1998,8
1999,1945303460549.75,413070240.0,11.981,0.537141639134645,1999,9
2000,2025858476151.37,407444640.0,10.218,1.67595988720927,2000,10
2001,2064338989612.96,411591650.0,8.61,1.63478079549601,2001,11
2002,2086380974762.6,407026600.0,8.702,1.9234122872706,2002,12
2003,2106573536968.08,412989100.0,8.306,2.09847219146923,2003,13
2004,2166995343501.89,414073000.0,8.914,2.14208964640241,2004,14
2005,2207920477337.34,416342900.0,8.882,1.74586936380482,2005,15
2006,2267844862926.15,406669020.0,8.832,1.67512449608723,2006,16
2007,2325232266328.63,396461200.0,8.008,1.4879980595386,2007,17
2008,2334072135222.36,389794300.0,7.386,2.81286194914787,2008,18
2009,2268145064848.79,371404200.0,9.122,0.0876204781574552,2009,19
2010,2313515332182.54,377079400.0,9.279,1.53112270420926,2010,20
2011,2369909039106.43,355126820.0,9.228,2.11159795174994,2011,21
2012,2374265767668.09,358100260.0,9.841,1.9541953161351,2012,22
2013,2392826743357.49,360013340.0,9.913,0.863715497861805,2013,23
2014,2416703156974.4,327808770.0,10.273,0.50775882293799,2014,24
2015,2442483452642.5,332131000.0,10.354,0.0375143805125182,2015,25
2016,2463489569347.31,335496400.0,10.057,0.18333486112386,2016,26
2017,2514819204088.14,338368030.0,9.409,1.03228275064662,2017,27
2018,2556210832760.02,323101730.0,9.018,1.85081508315502,2018,28
2019,2608036638906.12,316320800.0,8.415,1.10825492288294,2019,29
2020,2413981867676.36,281515500.0,8.009,0.476498852725066,2020,30
2021,2580120255051.75,307271840.0,7.874,1.64233141038385,2021,31
2022,2650215998256.03,295303800.0,7.308,5.22236748369735,2022,32
2023,2688358302961.22,270262660.0,7.335,4.87835726508441,2023,33
2024,2720362347819.81,264155620.0,7.37,1.99904942291463,2024,34
